name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
1,1000,local,hot,0.2174391746520996,0.20575523376464844,0.2148151397705078,0.2384328842163086,1.0457038879394531,0.17499923706054688,0.2067410945892334,4598.99,0.00
1,1000,remote,hot,0.9093811511993408,0.8831024169921875,1.0446548461914065,1.0821866989135742,1.3720989227294922,0.4410743713378906,0.8830854892730713,1099.65,0.00
1,1000,kayak,hot,0.6018610000610352,0.6928443908691406,0.9432315826416016,1.0578727722167969,1.5294551849365234,0.17714500427246094,0.5805990695953369,1661.51,0.00
1,1000,asfp,hot,0.9926702976226807,0.9305477142333984,1.2392520904541016,1.4908862113952637,1.9571781158447266,0.6175041198730469,0.9664056301116943,1007.38,0.00
2,1000,local,hot,0.3880748748779297,0.3745555877685547,0.3905296325683594,0.4148554801940918,1.2812614440917969,0.36263465881347656,0.37862324714660645,2576.82,0.00
2,1000,remote,hot,0.8642795085906982,0.8385181427001953,0.9596586227416992,1.0169768333435059,1.6198158264160156,0.5905628204345703,0.8399543762207031,1157.03,0.00
2,1000,kayak,hot,0.6231601238250732,0.6248950958251953,0.8704900741577148,1.0151958465576172,1.8169879913330078,0.3421306610107422,0.604421854019165,1604.72,0.00
2,1000,asfp,hot,1.0066399574279785,0.9123086929321289,1.394176483154297,1.7382311820983884,1.789093017578125,0.5364418029785156,0.9796309471130371,993.40,0.00
4,1000,local,hot,0.8791391849517822,0.8561611175537109,0.8895635604858398,0.9131455421447754,1.6984939575195312,0.8380413055419922,0.863516092300415,1137.48,0.00
4,1000,remote,hot,0.8901901245117188,0.8726119995117188,0.9973287582397461,1.03759765625,1.436471939086914,0.5583763122558594,0.8659791946411133,1123.36,0.00
4,1000,kayak,hot,0.815838098526001,0.8456707000732422,0.9202957153320312,1.04811429977417,1.76239013671875,0.4563331604003906,0.7953557968139648,1225.73,0.00
4,1000,asfp,hot,1.0533990859985352,0.878453254699707,1.7673969268798828,2.1045351028442383,2.5153160095214844,0.5204677581787109,1.027695655822754,949.31,0.00
8,1000,local,hot,1.8230373859405518,1.8012523651123047,1.8470287322998047,1.87636137008667,2.668619155883789,1.7406940460205078,1.8070969581604004,548.54,0.00
8,1000,remote,hot,0.9501776695251465,0.9276866912841797,1.0674476623535156,1.1005568504333496,1.7383098602294922,0.591278076171875,0.925173282623291,1052.43,0.00
8,1000,kayak,hot,1.1271841526031494,1.4295578002929688,1.5690088272094727,1.8072366714477537,2.3698806762695312,0.5061626434326172,1.1110222339630127,887.17,0.00
8,1000,asfp,hot,1.1464264392852783,0.8463859558105469,2.460145950317383,2.818422317504883,3.3516883850097656,0.48232078552246094,1.1241748332977295,872.28,0.00
1,1000,local,cold,0.6528902053833008,0.7337331771850586,0.9394407272338868,1.069319248199463,1.7027854919433594,0.17118453979492188,0.6326017379760742,1531.65,0.00
1,1000,remote,cold,0.8514566421508789,0.8302927017211914,0.9722709655761719,0.9949231147766113,1.4688968658447266,0.5173683166503906,0.8271682262420654,1174.46,0.00
1,1000,kayak,cold,0.911813497543335,0.9367465972900391,1.0739803314208984,1.113896369934082,1.8868446350097656,0.21767616271972656,0.8864972591400146,1096.72,0.00
1,1000,asfp,cold,1.1307744979858398,0.9597539901733398,1.8326044082641602,2.0461225509643555,2.827167510986328,0.5831718444824219,1.1051197052001953,884.35,0.00
2,1000,local,cold,1.0569841861724854,0.9309053421020508,1.926255226135254,2.1388602256774902,2.873659133911133,0.3674030303955078,1.0376698970794678,946.09,0.00
2,1000,remote,cold,0.8344826698303223,0.8106231689453125,0.9272098541259766,0.9987425804138184,1.7693042755126953,0.537872314453125,0.8125057220458984,1198.35,0.00
2,1000,kayak,cold,1.249204397201538,1.0641813278198242,2.045011520385742,2.210874557495117,2.3374557495117188,0.39005279541015625,1.2245776653289795,800.51,0.00
2,1000,asfp,cold,1.2173597812652588,0.9124279022216797,2.536606788635254,2.9251527786254883,3.266572952270508,0.6096363067626953,1.191321611404419,821.45,0.00
4,1000,local,cold,1.4537146091461182,0.7967948913574219,3.380918502807617,3.787109851837158,3.906726837158203,0.7300376892089844,1.4378442764282227,687.89,0.00
4,1000,remote,cold,0.9922745227813721,0.9748935699462891,1.081705093383789,1.1181855201721191,1.8842220306396484,0.6794929504394531,0.9674615859985352,1007.79,0.00
4,1000,kayak,cold,1.3651254177093506,0.8838176727294922,3.1842470169067383,3.4720969200134277,3.5734176635742188,0.5059242248535156,1.3487999439239502,732.53,0.00
4,1000,asfp,cold,1.5737285614013672,1.0253190994262695,4.447126388549805,5.250763893127441,5.760431289672852,0.6959438323974609,1.547499179840088,635.43,0.00
8,1000,local,cold,2.1022417545318604,1.4662742614746094,4.275965690612794,7.0313286781311035,7.218360900878906,1.4154911041259766,2.088548183441162,475.68,0.00
8,1000,remote,cold,0.9020090103149414,0.8685588836669922,1.0016202926635742,1.0755348205566406,1.725912094116211,0.5323886871337891,0.8772163391113281,1108.64,0.00
8,1000,kayak,cold,1.8050603866577148,1.3937950134277344,4.600954055786134,7.49161958694458,7.948875427246094,0.4534721374511719,1.7837116718292236,554.00,0.00
8,1000,asfp,cold,1.6573877334594727,0.8665323257446289,4.768943786621102,8.05499792098999,9.037494659423828,0.4858970642089844,1.632528305053711,603.36,0.00
