name,num_op,strategy,total_time,median,p90,p99,max,min,mean,success tput,abort tput
A,1000,local,0.2204740047454834,0.20170211791992188,0.21576881408691406,0.23603439331054688,0.377655029296875,0.17786026000976562,0.20348191261291504,4535.68,0.00
A,1000,remote,0.8721156120300293,0.8407831192016602,0.9537935256958008,1.0137629508972168,1.6856193542480469,0.5242824554443359,0.8342750072479248,1146.64,0.00
A,1000,kayak,0.5168325901031494,0.4068613052368164,0.8769750595092773,1.0390925407409668,1.0991096496582031,0.17595291137695312,0.4844224452972412,1934.86,0.00
A,1000,asfp,0.9550642967224121,0.9171962738037109,1.1493444442749023,1.38718843460083,1.6872882843017578,0.3809928894042969,0.9122543334960938,1047.05,0.00
B,1000,local,0.20069074630737305,0.18405914306640625,0.1933574676513672,0.20886898040771484,1.0488033294677734,0.1671314239501953,0.18330883979797363,4982.79,0.00
B,1000,remote,0.8995101451873779,0.8620023727416992,0.9782552719116211,1.0667037963867188,1.3651847839355469,0.5793571472167969,0.8611745834350586,1111.72,0.00
B,1000,kayak,0.6352295875549316,0.666499137878418,0.9649276733398438,1.0819673538208008,1.2521743774414062,0.18715858459472656,0.5992944240570068,1574.23,0.00
B,1000,asfp,0.9652507305145264,0.8912086486816406,1.1631250381469727,1.4576053619384761,1.626729965209961,0.4258155822753906,0.9242303371429443,1036.00,0.00
C,1000,local,0.24050092697143555,0.21696090698242188,0.2257823944091797,0.24892568588256833,0.2865791320800781,0.20194053649902344,0.21630311012268066,4157.99,0.00
C,1000,remote,0.9160683155059814,0.8866786956787109,1.0001659393310547,1.0864758491516113,1.6541481018066406,0.43654441833496094,0.8761725425720215,1091.62,0.00
C,1000,kayak,0.5837655067443848,0.5282163619995117,0.8819818496704102,1.0437989234924316,1.0716915130615234,0.1952648162841797,0.548539400100708,1713.02,0.00
C,1000,asfp,0.895153284072876,0.821232795715332,1.0938644409179688,1.255049705505371,1.5711784362792969,0.4906654357910156,0.854750394821167,1117.13,0.00
D,1000,local,0.20188593864440918,0.19288063049316406,0.20432472229003906,0.2217459678649902,1.0309219360351562,0.1800060272216797,0.19582295417785645,4953.29,0.00
D,1000,remote,0.9696991443634033,0.9670257568359375,1.0678768157958984,1.1038970947265625,1.8720626831054688,0.5292892456054688,0.9529247283935547,1031.25,0.00
D,1000,kayak,0.5377473831176758,0.46133995056152344,0.8847951889038086,1.0027885437011719,1.3244152069091797,0.17952919006347656,0.524573564529419,1859.61,0.00
D,1000,asfp,0.9488034248352051,0.8969306945800781,1.1809349060058594,1.416947841644287,1.7139911651611328,0.4324913024902344,0.9307944774627686,1053.96,0.00
F,1000,local,0.31420087814331055,0.36787986755371094,0.3965139389038086,0.4315614700317383,1.2660026550292969,0.18143653869628906,0.2964904308319092,3182.68,0.00
F,1000,remote,0.9959642887115479,0.9665489196777344,1.0939359664916992,1.1398839950561523,1.7459392547607422,0.5803108215332031,0.9552385807037354,1003.05,1.00
F,1000,kayak,0.5839517116546631,0.49304962158203125,0.9093761444091797,1.0492968559265137,1.5106201171875,0.1838207244873047,0.5500547885894775,1712.47,0.00
F,1000,asfp,0.9314894676208496,0.8563995361328125,1.2016296386718752,1.547396183013916,16.30997657775879,0.4324913024902344,0.8915762901306152,1073.55,0.00
